Assuming 9 as type relation
Loading files... 
  Starting sel_fw.txt
  Finished sel_fw.txt, still running: 0
Loaded 882061 facts in 8.53 s using -181 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  Place  ?h  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	0.98094449	0.98094449	4736	4828	4828	-2
?a  Leader of  ?h  ?h  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.558971641	0.558971641	2109	3773	3773	-2
?g  Place  ?a  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.012063292	0.98094449	0.98094449	4736	4828	4828	-2
?g  Leader of  ?a  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.005371935	0.559416446	0.559416446	2109	3770	3770	-2
?b  P131  ?h  ?h  P150  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002592996	0.031936253	0.031936253	1018	31876	31876	-2
?b  P155  ?h  ?h  P156  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002791674	0.98649865	0.98649865	1096	1111	1111	-2
?h  P155  ?n  ?b  P156  ?h  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002789127	0.990950226	0.990950226	1095	1105	1105	-2
?h  P22  ?n  ?b  P40  ?h  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001783003	0.949796472	0.949796472	700	737	737	-2
?b  P22  ?h  ?h  P40  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001989322	0.774801587	0.774801587	781	1008	1008	-2
?h  P131  ?n  ?n  P150  ?b  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002590449	0.031928921	0.031928921	1017	31852	31852	-2
?h  P155  ?n  ?n  P156  ?b  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002791674	0.98649865	0.98649865	1096	1111	1111	-2
?n  P155  ?b  ?h  P156  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.002789127	0.990950226	0.990950226	1095	1105	1105	-2
?n  P22  ?b  ?h  P40  ?n  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001783003	0.949796472	0.949796472	700	737	737	-2
?h  P22  ?n  ?n  P40  ?b  ?a  equalTo  ?h   => ?a  equalTo  ?b	0.001989322	0.774801587	0.774801587	781	1008	1008	-2
?m  Producer  ?h  ?a  Recorded by  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.002208377	0.031131059	0.031131059	867	27850	27850	-2
?a  Producer  ?h  ?m  Recorded by  ?h  ?m  equalTo  ?b   => ?a  equalTo  ?b	0.002208377	0.031110952	0.031110952	867	27868	27868	-2
?m  Producer  ?g  ?m  Recorded by  ?a  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001087632	0.515700483	0.515700483	427	828	828	-2
?m  Producer  ?a  ?m  Recorded by  ?g  ?g  equalTo  ?b   => ?a  equalTo  ?b	0.001087632	0.515078408	0.515078408	427	829	829	-2
?b  P131  ?h  ?h  P150  ?b  ?h  P150  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002590449	0.061442726	0.061442726	1017	16552	16552	-2
?b  P131  ?h  ?n  P131  ?h  ?h  P150  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002592996	0.032608347	0.032608347	1018	31219	31219	-2
?b  P131  ?h  ?n  P131  ?h  ?h  P150  ?b  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.002590449	0.032600333	0.032600333	1017	31196	31196	-2
?b  P131  ?h  ?t  P131  ?h  ?n  P47  ?t  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001113104	0.023232323	0.023232323	437	18810	18810	-2
?b  P131  ?h  ?s  P131  ?h  ?s  P47  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.001115651	0.022304833	0.022304833	438	19637	19637	-2
?h  P47  ?b  ?b  P47  ?h  ?h  P47  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.009167185	0.579735825	0.579735825	3599	6208	6208	-2
?b  P47  ?h  ?n  P47  ?h  ?h  P47  ?n  ?a  equalTo  ?n   => ?a  equalTo  ?b	0.009167185	0.58236246	0.58236246	3599	6180	6180	-2
?b  P47  ?h  ?h  P47  ?n  ?n  P47  ?t  ?a  equalTo  ?t   => ?a  equalTo  ?b	0.001016312	0.064479638	0.064479638	399	6188	6188	-2
?b  P47  ?h  ?h  P47  ?n  ?t  P47  ?n  ?a  equalTo  ?t   => ?a  equalTo  ?b	0.001013765	0.064453441	0.064453441	398	6175	6175	-2
