Assuming 9 as type relation
Loading files... 
  Starting db_tri.txt
  Finished db_tri.txt, still running: 0
Loaded 191430 facts in 1.36 s using -317 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?h  equalTo  ?b  ?a  http://dbpedia.org/ontology/bandMember  ?h   => ?a  equalTo  ?b	0.002533333	0.126245847	0.126245847	38	301	301	-1
?h  equalTo  ?b  ?a  http://www.w3.org/2000/01/rdf-schema#seeAlso  ?h   => ?a  equalTo  ?b	0.008333333	0.514403292	0.514403292	125	243	243	-1
?h  equalTo  ?b  ?a  http://dbpedia.org/ontology/formerBandMember  ?h   => ?a  equalTo  ?b	0.002733333	0.157692308	0.157692308	41	260	260	-1
?g  equalTo  ?b  ?g  http://www.w3.org/2000/01/rdf-schema#seeAlso  ?a   => ?a  equalTo  ?b	0.008333333	0.514403292	0.514403292	125	243	243	-1
?g  equalTo  ?b  ?g  http://dbpedia.org/ontology/formerBandMember  ?a   => ?a  equalTo  ?b	0.002733333	0.157088123	0.157692308	41	261	260	-1
?g  equalTo  ?b  ?g  http://dbpedia.org/ontology/bandMember  ?a   => ?a  equalTo  ?b	0.002533333	0.126245847	0.126245847	38	301	301	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/artist  ?h  ?n  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.2016	0.033770353	0.033770353	3024	89546	89546	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/artist  ?h  ?n  http://dbpedia.org/ontology/writer  ?h   => ?a  equalTo  ?b	0.106333333	0.028100775	0.028100775	1595	56760	56760	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/artist  ?h  ?n  http://dbpedia.org/ontology/composer  ?h   => ?a  equalTo  ?b	0.072266667	0.02667848	0.02667848	1084	40632	40632	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/producer  ?n   => ?a  equalTo  ?b	0.1982	0.034104205	0.034104205	2973	87174	87174	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/recordLabel  ?n   => ?a  equalTo  ?b	0.0026	0.055476529	0.055476529	39	703	703	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/musicalBand  ?n   => ?a  equalTo  ?b	0.2352	0.031905369	0.031905369	3528	110577	110577	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/musicalArtist  ?n   => ?a  equalTo  ?b	0.2352	0.031905369	0.031905369	3528	110577	110577	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/writer  ?n   => ?a  equalTo  ?b	0.090133333	0.027352917	0.027352917	1352	49428	49428	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/picture  ?n   => ?a  equalTo  ?b	0.0026	0.025456919	0.025456919	39	1532	1532	-1
?n  equalTo  ?h  ?a  http://dbpedia.org/ontology/producer  ?n  ?b  http://dbpedia.org/ontology/recordLabel  ?h   => ?a  equalTo  ?b	0.001	0.035046729	0.035046729	15	428	428	-1
?m  equalTo  ?h  ?m  http://dbpedia.org/ontology/foundedBy  ?a  ?b  http://dbpedia.org/ontology/recordLabel  ?h   => ?a  equalTo  ?b	0.001666667	0.012840267	0.013262599	25	1947	1885	-1
?a  equalTo  ?n  ?n  http://dbpedia.org/ontology/artist  ?h  ?b  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.2016	0.033828152	0.033828152	3024	89393	89393	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/producer  ?h  ?n  http://dbpedia.org/ontology/writer  ?h   => ?a  equalTo  ?b	0.091533333	0.019854525	0.019854525	1373	69153	69153	-1
?a  equalTo  ?n  ?n  http://dbpedia.org/ontology/composer  ?h  ?b  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.065933333	0.017138896	0.017138896	989	57705	57705	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/producer  ?h  ?a  http://dbpedia.org/ontology/recordLabel  ?n   => ?a  equalTo  ?b	0.0018	0.014423077	0.014423077	27	1872	1872	-1
?n  equalTo  ?h  ?a  http://dbpedia.org/ontology/artist  ?n  ?b  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.125533333	0.04490818	0.04490818	1883	41930	41930	-1
?n  equalTo  ?h  ?a  http://dbpedia.org/ontology/musicalBand  ?n  ?b  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.0728	0.022065955	0.022065955	1092	49488	49488	-1
?n  equalTo  ?h  ?a  http://dbpedia.org/ontology/musicalArtist  ?n  ?b  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.0728	0.022065955	0.022065955	1092	49488	49488	-1
?n  equalTo  ?h  ?b  http://dbpedia.org/ontology/producer  ?h  ?a  http://dbpedia.org/ontology/writer  ?n   => ?a  equalTo  ?b	0.0816	0.01867106	0.01867106	1224	65556	65556	-1
?n  equalTo  ?h  ?a  http://dbpedia.org/ontology/picture  ?n  ?b  http://dbpedia.org/ontology/producer  ?h   => ?a  equalTo  ?b	0.002	0.026132404	0.026132404	30	1148	1148	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/previousWork  ?h  ?h  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.341066667	0.946180877	0.946180877	5116	5407	5407	-1
?a  equalTo  ?n  ?h  http://dbpedia.org/ontology/followedBy  ?n  ?b  http://dbpedia.org/ontology/previousWork  ?h   => ?a  equalTo  ?b	0.0056	0.292682927	0.292682927	84	287	287	-1
