Assuming 9 as type relation
Loading files... 
  Starting sel_tri1.txt
  Finished sel_tri1.txt, still running: 0
Loaded 177271 facts in 1.57 s using -762 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 1.0E-4
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  P27  ?h  ?n  equalTo  ?h  ?a  http://schema.org/nationality  ?n   => ?a  equalTo  ?b	0.011573333	0.000660061	0.000660061	1736	2630059	2630059	-1
?b  P106  ?h  ?n  equalTo  ?h  ?a  http://schema.org/hasOccupation  ?n   => ?a  equalTo  ?b	0.007893333	0.000826187	0.000826187	1184	1433089	1433089	-1
?b  P19  ?h  ?n  equalTo  ?h  ?a  http://schema.org/birthPlace  ?n   => ?a  equalTo  ?b	0.00504	0.040423484	0.040423484	756	18702	18702	-1
?b  P54  ?h  ?n  equalTo  ?h  ?a  http://schema.org/memberOf  ?n   => ?a  equalTo  ?b	0.00414	0.110972123	0.110972123	621	5596	5596	-1
?b  P131  ?h  ?n  equalTo  ?h  ?a  http://schema.org/containedInPlace  ?n   => ?a  equalTo  ?b	0.004006667	0.033643081	0.033643081	601	17864	17864	-1
?b  P131  ?h  ?n  equalTo  ?h  ?a  http://schema.org/location  ?n   => ?a  equalTo  ?b	0.00112	0.030462375	0.030462375	168	5515	5515	-1
?b  P641  ?h  ?n  equalTo  ?h  ?a  http://schema.org/sport  ?n   => ?a  equalTo  ?b	0.00122	0.003353122	0.003353122	183	54576	54576	-1
?b  P69  ?h  ?n  equalTo  ?h  ?a  http://schema.org/alumniOf  ?n   => ?a  equalTo  ?b	0.0034	0.010303655	0.010303655	510	49497	49497	-1
?b  P735  ?h  ?n  equalTo  ?h  ?a  http://schema.org/givenName  ?n   => ?a  equalTo  ?b	0.002866667	0.025942685	0.025942685	430	16575	16575	-1
?b  P161  ?h  ?n  equalTo  ?h  ?a  http://schema.org/actor  ?n   => ?a  equalTo  ?b	0.00262	0.493718593	0.493718593	393	796	796	-1
?b  P171  ?h  ?n  equalTo  ?h  ?a  http://bioschemas.org/parentTaxon  ?n   => ?a  equalTo  ?b	0.002013333	0.328618063	0.328618063	302	919	919	-1
?b  P495  ?h  ?n  equalTo  ?h  ?a  http://schema.org/countryOfOrigin  ?n   => ?a  equalTo  ?b	0.00148	0.003127774	0.003127774	222	70977	70977	-1
?b  P20  ?h  ?n  equalTo  ?h  ?a  http://schema.org/deathPlace  ?n   => ?a  equalTo  ?b	0.001326667	0.112112676	0.112112676	199	1775	1775	-1
?m  equalTo  ?b  ?a  http://schema.org/containedInPlace  ?h  ?m  http://schema.org/location  ?h   => ?a  equalTo  ?b	0.001393333	0.045296922	0.045296922	209	4614	4614	-1
?m  equalTo  ?b  ?m  http://schema.org/containedInPlace  ?h  ?a  http://schema.org/location  ?h   => ?a  equalTo  ?b	0.001393333	0.045296922	0.045296922	209	4614	4614	-1
?g  P161  ?b  ?m  equalTo  ?g  ?m  http://schema.org/actor  ?a   => ?a  equalTo  ?b	0.00222	0.686597938	0.689440994	333	485	483	-1
