Assuming 9 as type relation
Loading files... 
  Starting de_ja_tri2.txt
  Finished de_ja_tri2.txt, still running: 0
Loaded 686700 facts in 8.15 s using 298 MB
Using HeadCoverage as pruning metric with minimum threshold 0.001
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.01
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 1 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/associatedBand  ?h  ?h  http://dbpedia.org/ontology/bandMember  ?n   => ?a  equalTo  ?b	0.001698158	0.121033049	0.121033049	553	4569	4569	-1
?m  equalTo  ?h  ?b  http://dbpedia.org/ontology/associatedBand  ?h  ?m  http://dbpedia.org/ontology/bandMember  ?a   => ?a  equalTo  ?b	0.001369581	0.043054349	0.05305734	446	10359	8406	-1
?m  equalTo  ?h  ?b  http://dbpedia.org/ontology/previousWork  ?h  ?m  http://dbpedia.org/ontology/subsequentWork  ?a   => ?a  equalTo  ?b	0.002619401	0.699180328	0.829766537	853	1220	1028	-1
?a  equalTo  ?n  ?h  http://dbpedia.org/ontology/associatedBand  ?n  ?b  http://dbpedia.org/ontology/bandMember  ?h   => ?a  equalTo  ?b	0.001354227	0.243243243	0.243243243	441	1813	1813	-1
?a  equalTo  ?h  ?h  http://dbpedia.org/ontology/associatedBand  ?n  ?n  http://dbpedia.org/ontology/bandMember  ?b   => ?a  equalTo  ?b	0.001698158	0.108452638	0.108452638	553	5099	5099	-1
?a  equalTo  ?h  ?n  http://dbpedia.org/ontology/associatedBand  ?b  ?h  http://dbpedia.org/ontology/bandMember  ?n   => ?a  equalTo  ?b	0.001354227	0.226502311	0.226502311	441	1947	1947	-1
?n  equalTo  ?b  ?h  http://dbpedia.org/ontology/previousWork  ?n  ?a  http://dbpedia.org/ontology/subsequentWork  ?h   => ?a  equalTo  ?b	0.003703397	0.864516129	0.935608999	1206	1395	1289	-1
?h  equalTo  ?n  ?n  http://dbpedia.org/ontology/previousWork  ?b  ?a  http://dbpedia.org/ontology/subsequentWork  ?h   => ?a  equalTo  ?b	0.002622472	0.490241102	0.568575233	854	1742	1502	-1
?n  equalTo  ?b  ?a  http://dbpedia.org/ontology/previousWork  ?h  ?h  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.003509936	0.848552339	0.931540342	1143	1347	1227	-1
?g  equalTo  ?b  ?n  http://dbpedia.org/ontology/previousWork  ?a  ?g  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.003703397	0.884164223	0.935608999	1206	1364	1289	-1
?g  equalTo  ?b  ?g  http://dbpedia.org/ontology/previousWork  ?n  ?n  http://dbpedia.org/ontology/subsequentWork  ?a   => ?a  equalTo  ?b	0.003509936	0.881944444	0.931540342	1143	1296	1227	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/artist  ?h  ?t  http://dbpedia.org/ontology/artist  ?h  ?n  http://dbpedia.org/ontology/previousWork  ?t   => ?a  equalTo  ?b	0.004345196	0.027425138	0.027425138	1415	51595	51595	-1
?a  equalTo  ?n  ?n  http://dbpedia.org/ontology/album  ?t  ?b  http://dbpedia.org/ontology/artist  ?h  ?t  http://dbpedia.org/ontology/artist  ?h   => ?a  equalTo  ?b	0.001013367	0.017837838	0.017837838	330	18500	18500	-1
?t  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?n  http://dbpedia.org/ontology/artist  ?t  ?a  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.003248917	0.021411803	0.028658883	1058	49412	36917	-1
?n  equalTo  ?t  ?b  http://dbpedia.org/ontology/artist  ?h  ?t  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/subsequentWork  ?n   => ?a  equalTo  ?b	0.003055456	0.024341317	0.027716649	995	40877	35899	-1
?t  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?n  http://dbpedia.org/ontology/artist  ?t  ?a  http://dbpedia.org/ontology/previousWork  ?n   => ?a  equalTo  ?b	0.003086164	0.020651392	0.028616988	1005	48665	35119	-1
?n  equalTo  ?t  ?b  http://dbpedia.org/ontology/artist  ?h  ?t  http://dbpedia.org/ontology/artist  ?h  ?a  http://dbpedia.org/ontology/previousWork  ?n   => ?a  equalTo  ?b	0.003046243	0.023625235	0.027867517	992	41989	35597	-1
?s  equalTo  ?m  ?b  http://dbpedia.org/ontology/artist  ?h  ?m  http://dbpedia.org/ontology/artist  ?h  ?s  http://dbpedia.org/ontology/previousWork  ?a   => ?a  equalTo  ?b	0.002984827	0.021474968	0.026630867	972	45262	36499	-1
?s  equalTo  ?m  ?b  http://dbpedia.org/ontology/artist  ?h  ?m  http://dbpedia.org/ontology/artist  ?h  ?s  http://dbpedia.org/ontology/subsequentWork  ?a   => ?a  equalTo  ?b	0.003000181	0.020848004	0.026295957	977	46863	37154	-1
?m  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?s  http://dbpedia.org/ontology/artist  ?m  ?s  http://dbpedia.org/ontology/previousWork  ?a   => ?a  equalTo  ?b	0.003187501	0.019441479	0.027644615	1038	53391	37548	-1
?m  equalTo  ?h  ?b  http://dbpedia.org/ontology/artist  ?h  ?s  http://dbpedia.org/ontology/artist  ?m  ?s  http://dbpedia.org/ontology/subsequentWork  ?a   => ?a  equalTo  ?b	0.003052385	0.018341175	0.027036584	994	54195	36765	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/associatedBand  ?h  ?h  http://dbpedia.org/ontology/bandMember  ?b  ?h  http://dbpedia.org/ontology/bandMember  ?n   => ?a  equalTo  ?b	0.001698158	0.239601386	0.239601386	553	2308	2308	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/associatedBand  ?h  ?n  http://dbpedia.org/ontology/associatedBand  ?h  ?h  http://dbpedia.org/ontology/bandMember  ?n   => ?a  equalTo  ?b	0.001698158	0.182689131	0.182689131	553	3027	3027	-1
?a  equalTo  ?n  ?b  http://dbpedia.org/ontology/associatedBand  ?h  ?n  http://dbpedia.org/ontology/associatedBand  ?h  ?h  http://dbpedia.org/ontology/bandMember  ?b   => ?a  equalTo  ?b	0.001698158	0.187775891	0.187775891	553	2945	2945	-1
?m  equalTo  ?h  ?b  http://dbpedia.org/ontology/associatedBand  ?h  ?m  http://dbpedia.org/ontology/bandMember  ?a  ?h  http://dbpedia.org/ontology/bandMember  ?b   => ?a  equalTo  ?b	0.001169979	0.087545956	0.101708489	381	4352	3746	-1
?a  equalTo  ?t  ?h  http://dbpedia.org/ontology/artist  ?n  ?t  http://dbpedia.org/ontology/artist  ?n  ?b  http://dbpedia.org/ontology/previousWork  ?h   => ?a  equalTo  ?b	0.004345196	0.029933786	0.029933786	1415	47271	47271	-1
?t  equalTo  ?n  ?h  http://dbpedia.org/ontology/artist  ?n  ?a  http://dbpedia.org/ontology/artist  ?t  ?b  http://dbpedia.org/ontology/previousWork  ?h   => ?a  equalTo  ?b	0.003003252	0.029632772	0.037261401	978	33004	26247	-1
